Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ğ	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÏêÏ¸Àà±ğ
T¶ b¸n diÖn ®ång kİnh	4	18	\spr\item\questkey\taskobj019.spr	41	1	1	Mét tÊm g­¬ng b»ng ®ång ®á, chØ nh×n ®­îc nöa bªn tr¸i. 	0
H÷u b¸n diÖn ®ång kİnh	4	19	\spr\item\questkey\taskobj019-1.spr	41	1	1	Mét tÊm g­¬ng b»ng ®ång ®á, chØ nh×n ®­îc nöa bªn ph¶i. 	0
§ång Kİnh	4	20	\spr\item\questkey\taskobj020.spr	41	1	1	Mét tÊm g­¬ng b»ng ®ång ®á, nh×n ®­îc toµn diÖn. 	0
Phï Dung CÈm Kª §å	4	21	\spr\item\questkey\taskobj021.spr	41	1	1	Mét bøc danh häa thêi Tèng, vÏ c¶nh ®µn gµ ®ang ch¬i ®ïa víi b­ím, nĞt vÏ tinh tÕ sèng ®éng nh­ thËtvõa hoa lÖ võa phó quı. 	0
B¸ch §iÓu TriÒu Phông §iÓn Phæ	4	22	\spr\item\questkey\taskobj022.spr	41	1	1	Mét bøc tranh tuyÖt phÈm thÊt truyÒn ®· l©u. vÏ c¶nh hµng tr¨m lo¹i chim ®Õn chóc thä cho Phông Hoµng.	0
Kim TuyÕn Tó T­îng Kim Cang Kinh	4	23	\spr\item\questkey\taskobj023.spr	41	1	1	Nh÷ng t­îng PhËt vµ kinh s¸ch ®­îc lµm tõ nh÷ng sîi Kim tuyÕn, lµ PhËt m«n chi b¶o. 	0
Yªn Ngäc ChØ Hoµn	4	24	\spr\item\questkey\taskobj024.spr	41	1	1	Mét chiÕc vßng ngäc hång s¾c, tİn vËt cña ch­ëng m«n Nga Mi ph¸i. 	0
Toµn Th¹ch	4	25	\spr\item\questkey\taskobj025.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Kim Liªn Hoa	4	26	\spr\item\questkey\taskobj026.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
B¸t Nh· Ba La MËt §a T©m Kinh	4	27	\spr\item\questkey\taskobj027.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
DŞch C©n Kinh	4	28	\spr\item\questkey\taskobj028.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Mét x©u trµng h¹t	4	29	\spr\item\questkey\taskobj029.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Mét c©y thiÒn tr­îng	4	30	\spr\item\questkey\taskobj030.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Mét c¸i Méc Ng­	4	31	\spr\item\questkey\taskobj031.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Mét c¸i b¸t cña nhµ s­	4	32	\spr\item\questkey\taskobj032.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Thanh S¾c Tróc tr­îng	4	33	\spr\item\questkey\taskobj033.spr	41	1	2	Mét c©y gËy tróc ng¾n mµu xanh, ch¹m træ khĞo lĞo, lµm lÔ vËt gia nhËp §­êng m«n. 	0
B¹ch S¾c Tróc tr­îng	4	34	\spr\item\questkey\taskobj034.spr	41	1	2	Mét c©y gËy tróc ng¾n mµu tr¾ng, ch¹m træ khĞo lĞo, lµm lÔ vËt gia nhËp §­êng m«n. 	0
Tö S¾c Tróc tr­îng	4	35	\spr\item\questkey\taskobj035.spr	41	1	2	Mét c©y gËy tróc mµu tİm, ch¹m træ khĞo lĞo, lµm lÔ vËt gia nhËp §­êng m«n. 	0
Ma Vò Ch©m 	4	36	\spr\item\questkey\taskobj036.spr	41	1	2	Mét lo¹i kim nhá gièng nh­ r©u kiÕn, mµu ®en, cã thÓ giÕt ng­êi v« h×nh, ®éc m«n ¸m khİ cña §­êng m«n. 	0
ChiÕc kh¨n Qu¸i Th¹ch trËn thø nhÊt	4	37	\spr\item\questkey\taskobj040.spr	41	1	1	Mét chiÕc kh¨n t¬ mµu tr¾ng, phİa trªn viÕt mét ch÷ "ThiÖn". 	0
ChiÕc kh¨n Qu¸i Th¹ch trËn thø hai	4	38	\spr\item\questkey\taskobj038.spr	41	1	1	Mét chiÕc kh¨n t¬ mµu tr¾ng, phİa trªn viÕt mét ch÷ "SÊn". 	0
ChiÕc kh¨n Qu¸i Th¹ch trËn thø ba	4	39	\spr\item\questkey\taskobj037.spr	41	1	1	Mét chiÕc kh¨n t¬ mµu tr¾ng, phİa trªn viÕt mét ch÷ "Gi¶". 	0
ChiÕc kh¨n Qu¸i Th¹ch trËn thø t­	4	40	\spr\item\questkey\taskobj039.spr	41	1	1	Mét chiÕc kh¨n t¬ mµu tr¾ng, phİa trªn viÕt mét ch÷ "Tö". 	0
Kim H¹ng QuyÒn	4	41	\spr\item\questkey\taskobj041.spr	41	1	1	Tinh chÕ tõ vµng, cã kh¶m b¶o th¹ch, v« cïng quı hiÕm. 	0
Háa khİ Phæ	4	42	\spr\item\questkey\taskobj042.spr	41	1	1	MËt phæ cña §­êng m«n, trong ®ã chØ rÊt t­êng tËn vÒ c¸c lo¹i háa khİ vµ c¸ch sö dông. 	0
Da cña ve sÇu	4	43	\spr\item\questkey\taskobj043.spr	41	1	1	Lo¹i d­îc liÖu chuyªn trŞ c¸c bÖnh kú qu¸i. 	0
Gan r¾n ®éc	4	44	\spr\item\questkey\taskobj044.spr	41	1	1	Lo¹i d­îc liÖu chuyªn trŞ c¸c bÖnh kú qu¸i. 	0
Vâ h¹t Anh Tóc	4	45	\spr\item\questkey\taskobj045.spr	41	1	1	Lo¹i d­îc liÖu chuyªn trŞ c¸c bÖnh kú qu¸i. 	0
§u«i cña rÕt ®éc	4	46	\spr\item\questkey\taskobj046.spr	41	1	1	Lo¹i d­îc liÖu chuyªn trŞ c¸c bÖnh kú qu¸i. 	0
§Çu cña Thiªn Tµm	4	47	\spr\item\questkey\taskobj047.spr	41	1	1	Lo¹i d­îc liÖu chuyªn trŞ c¸c bÖnh kú qu¸i. 	0
¸m khİ Phæ	4	48	\spr\item\questkey\taskobj048.spr	41	1	1	MËt phæ cña §­êng m«n, trong ®ã chØ rÊt t­êng tËn vÒ c¸c lo¹i ¸m khİ vµ c¸ch sö dông. . 	0
ThÊt Tinh TuyÖt mÖnh KiÕm	4	49	\spr\item\questkey\taskobj049.spr	41	1	1	Mét lo¹i kiÕm s¾t søc tµn ph¸ khñng khiÕp. 	0
Vò V­¬ng KiÕm	4	50	\spr\item\questkey\taskobj050.spr	41	1	1	Mét thanh b¶o kiÕm thêi cæ, ®­îc l­u gi÷ trªn nói Hoa S¬n. 	0
MiÕng lÖnh bµi vì thø nhÊt	4	51	\spr\item\questkey\taskobj051-1.spr	41	1	1	MiÕng vì thø nhÊt cña ThÊt S¸t LÖnh bµi. 	0
MiÕng lÖnh bµi vì thø nh×	4	52	\spr\item\questkey\taskobj051-2.spr	41	1	1	MiÕng vì thø nh× cña ThÊt S¸t LÖnh bµi. 	0
MiÕng lÖnh bµi vì thø ba	4	53	\spr\item\questkey\taskobj051-3.spr	41	1	1	MiÕng vì thø ba cña ThÊt S¸t LÖnh bµi. 	0
MiÕng lÖnh bµi vì thø t­	4	54	\spr\item\questkey\taskobj051-4.spr	41	1	1	MiÕng vì thø t­ cña ThÊt S¸t LÖnh bµi. 	0
MiÕng lÖnh bµi vì thø n¨m	4	55	\spr\item\questkey\taskobj051-5.spr	41	1	1	MiÕng vì thø n¨m cña ThÊt S¸t LÖnh bµi. 	0
MiÕng lÖnh bµi vì thø s¸u	4	56	\spr\item\questkey\taskobj051-6.spr	41	1	1	MiÕng vì thø s¸u cña ThÊt S¸t LÖnh bµi. 	0
MiÕng lÖnh bµi vì thø b¶y	4	57	\spr\item\questkey\taskobj051.spr	41	1	2	MiÕng vì thø b¶y cña ThÊt S¸t LÖnh bµi. 	0
NhËt NguyÖt Song Lu©n	4	58	\spr\item\questkey\taskobj052.spr	41	1	1	Lµ lo¹i vò khİ ®Æc biÖt cña Thiªn nhÉn gi¸o, mét chiÕc b»ng vµng vµ mét chiÕc b»ng b¹c	0
C¸p HuyÕt Hång 	4	59	\spr\item\questkey\taskobj053.spr	41	1	1	Mét lo¹i b¶o th¹ch mµu hång huyÕt. 	0
B¨ng Tinh Lam 	4	60	\spr\item\questkey\taskobj054.spr	41	1	1	Mét lo¹i b¶o th¹ch mµu lam. 	0
Tæ MÉu Lôc 	4	61	\spr\item\questkey\taskobj055.spr	41	1	1	Mét viªn b¶o th¹ch mµu xanh lôc. 	0
V©n Méng Tö 	4	62	\spr\item\questkey\taskobj056.spr	41	1	1	Mét lo¹i b¶o th¹ch mµu xanh tİm. 	0
Ng©n Tr©m	4	63	\spr\item\questkey\taskobj057.spr	41	1	2	Mét chiÕc Ng©n tr©m cña n÷ giíi. 	0
 H­¬ng Nang	4	64	\spr\item\questkey\taskobj058.spr	41	1	2	Mét lo¹i h­¬ng d­îc b»ng phÊn hång, mïi th¬m quyÕn rò. 	0
Thïng gç	4	65	\spr\item\questkey\taskobj059.spr	41	1	1	Mét c¸i thïng gç. 	0
ChiÕc §¹o bµo b»ng t¬ Thiªn Tµm	4	66	\spr\item\questkey\taskobj060.spr	41	1	2	Mét chiÕc §¹o bµo mµu x¸m ®· bŞ Háa Lang c¾n ph¸. 	0
Ìì²Ï  	4	67	\spr\item\questkey\taskobj061.spr	41	1	1	Mét lo¹i t¬ b¹ch s¾c, tİnh mÒm dÎo khã lo¹i nµo cã thÓ b×. 	0
ChiÕc §¹o bµo b»ng t¬ Thiªn Tµm ®· ®­îc v¸ l¹i	4	68	\spr\item\questkey\taskobj062.spr	41	1	2	Mét chiÕc §¹o bµo mµu x¸m hoµn h¶o	0
Ngäc Thanh Ch©n Kinh	4	69	\spr\item\questkey\taskobj063.spr	41	1	1	§¹o gi¸o Tam Thanh B¶o §iÓn. 	0
Th­îng Thanh Ch©n Kinh	4	70	\spr\item\questkey\taskobj064.spr	41	1	1	§¹o gi¸o Tam Thanh B¶o §iÓn. 	0
Th¸i Thanh Ch©n Kinh	4	71	\spr\item\questkey\taskobj065.spr	41	1	1	§¹o gi¸o Tam Thanh B¶o §iÓn. 	0
R©u c»m	4	72	\spr\item\questkey\taskobj066.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
C¸i qu¹t	4	73	\spr\item\questkey\taskobj067.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Thñ ph¸ch	4	74	\spr\item\questkey\taskobj068.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Ban ChØ	4	75	\spr\item\questkey\taskobj069.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
HuÖ TuyÒn Töu 	4	76	\spr\item\questkey\taskobj070.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Kim L¨ng Xu©n	4	77	\spr\item\questkey\taskobj071.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
B¸ch Hoa Nh­ìng	4	78	\spr\item\questkey\taskobj072.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Kinh Hoa Lé	4	79	\spr\item\questkey\taskobj073.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Song C©u §¹i Khóc	4	80	\spr\item\questkey\taskobj074.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
V¨n th­ 	4	81	\spr\item\questkey\taskobj075.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
§Şa ®å S¬n Hµ X· T¾c 	4	82	\spr\item\questkey\taskobj076.spr	41	2	1	VËt phÈm trong nhiÖm vô	0
Tói v¶i	4	83	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Mét sîi l«ng chim Khæng T­íc	4	84	\spr\item\questkey\taskobj078.spr	41	1	2	VËt phÈm trong nhiÖm vô	0
§Çu ng­êi	4	85	\spr\item\questkey\taskobj079.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
 NhÒn NhÖn	4	86	\spr\item\questkey\taskobj080.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Méc H­¬ng §Ønh	4	87	\spr\item\questkey\taskobj081.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Ngäc San h«	4	88	\spr\item\questkey\taskobj082.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
"Ch¸nh ph¸i chi b¶o"	4	89	\spr\item\questkey\taskobj083.spr	41	1	2	VËt phÈm trong nhiÖm vô	0
Bång Lai Xu©n	4	90	\spr\item\questkey\taskobj084.spr	41	1	1	Lµ "Tiªn Töu" ë §éng §×nh hå. mïi vŞ th¬m nång, nuèt råi vÉn cßn tiÕc, rÊt thİch hîp víi c¸c vŞ ®¹i h¸n. 	0
Kª HuyÕt th¹ch 	4	91	\spr\item\questkey\taskobj085.spr	41	1	1	Mét lo¹i b¶o th¹ch hiÕm thÊy, mµu ®á nh­ m¸u, t­¬i hång quı ph¸i, kh«ng dÔ mua ®­îc. T­¬ng truyÒn cã thÓ trõ yªu diÖt tµ, mang ®Õn nhiÒu may m¾n	0
Mét l¸ cê GÊm	4	92	\spr\item\questkey\taskobj086.spr	41	1	2	Mét l¸ cê GÊm mµu hång, phİa trªn cã thªu 4 ch÷ Vµng "Yªu d©n nh­ con". 	0
Háa Tİch DŞch L©n PhiÕn	4	93	\spr\item\questkey\taskobj087.spr	41	1	1	Mét lo¹i gi¸p th«ng th­êng, ®­îc may thªm da kú l©n. 	0
Lôc Thñ Quy	4	94	\spr\item\questkey\taskobj088.spr	41	1	1	Mét lo¹i ®éng vËt quı hiÕm, vâ cña nã cøng cã thÓ thÓ sö dông nhiÒu ph­¬ng diÖn. 	0
Ngò S¾c Th¹ch	4	95	\spr\item\questkey\taskobj089.spr	41	1	1	Trong truyÒn thuyÕt, nã t­îng tr­ng cho h¹nh phóc, Lo¹i ®¸ cã thÓ mang ®Õn sù an b×nh, ph¸t ra hµo quang ngò s¾c lung linh	0
Thiªn V­¬ng Di th­	4	96	\spr\item\questkey\taskobj090.spr	41	1	1	MËt th­ cña Thiªn V­¬ng Bang, bªn trong kh«ng nh÷ng chØ cã ghi l¹i nh÷ng ph­¬ng thøc bè trËn t©m ®¾c cña Thiªn V­¬ng, mµ cßn vÏ rÊt chi tiÕt vŞ trİ bè trİ h¶i qu©n, bé qu©n xung quanh §éng §×nh hå. 	0
Th­ tİn, MËt tİn, MËt hµm. . . v. v. . 	4	97	\spr\item\questkey\taskobj091.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Ch×a khãa thø nhÊt	4	98	\spr\item\questkey\taskobj092.spr	41	1	1	Dïng ®Ó më B¶o r­¬ng, bªn trong cã giÊu quyÓn MËt phæ "Háa Khİ Phæ" cña §­êng m«n. 	0
Ch×a khãa thø hai	4	99	\spr\item\questkey\taskobj092-1.spr	41	1	1	Dïng ®Ó ®i vµo tÇng thø hai Tróc T¬ ®éng cña §­êng m«n. 	0
Ch×a khãa thø ba	4	100	\spr\item\questkey\taskobj092-2.spr	41	1	1	Dïng ®Ó ®i vµo tÇng thø ba Tróc T¬ ®éng cña §­êng m«n. 	0
Ch×a khãa Thiªn V­¬ng Bang	4	101	\spr\item\questkey\taskobj092-3.spr	41	1	1	Mét chiÕc ch×a khãa ®Ó më b¶o r­¬ng. 	0
Ch×a khãa Th¸nh ®éng	4	102	\spr\item\questkey\taskobj092-4.spr	41	1	1	Mét chiÕc ch×a khãa ®Ó më b¶o r­¬ng trong Th¸nh ®éng. 	0
Ch×a khãa	4	103	\spr\item\questkey\taskobj092-5.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Ch×a khãa	4	104	\spr\item\questkey\taskobj092-6.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Ch×a khãa	4	105	\spr\item\questkey\taskobj092.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
T×nh Hoa	4	106	\spr\item\questkey\taskobj093.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
§­¬ng Quy	4	107	\spr\item\questkey\taskobj094.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y. 	0
Xuyªn Khung	4	108	\spr\item\questkey\taskobj095.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y. 	0
Ma Hoµng	4	109	\spr\item\questkey\taskobj096.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y. 	0
Hoµi TÊt	4	110	\spr\item\questkey\taskobj097.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y. 	0
D¹ Minh Ch©u	4	111	\spr\item\questkey\taskobj098.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Tö Môc Tóc	4	112	\spr\item\questkey\taskobj099.spr	41	1	1	VËt phÈm trong nhiÖm vô	1
§Şa CÈm th¶o	4	113	\spr\item\questkey\taskobj100.spr	41	1	1	VËt phÈm trong nhiÖm vô	1
ThiÕn th¶o	4	114	\spr\item\questkey\taskobj101.spr	41	1	1	VËt phÈm trong nhiÖm vô	1
Hæ NhÜ th¶o	4	115	\spr\item\questkey\taskobj102.spr	41	1	1	VËt phÈm trong nhiÖm vô	1
Linh Chi	4	116	\spr\item\questkey\taskobj103.spr	41	1	1	"Mét lo¹i d­îc phÈm quı, t¨ng c­êng khİ lùc, t¨ng trİ huÖ. Dïng nhiÒu sÏ tr­êng thä, cã c«ng hiÖu c¶i tö hoµn sinh""Tiªn th¶o""tªn gäi."	1
S¬n Lı Hång	4	117	\spr\item\questkey\taskobj104.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
L­îng Ng©n Kho¸ng	4	118	\spr\item\questkey\taskobj105.spr	41	1	1	Mét lo¹i kho¸ng th¹ch rÊt bãng s¸ng, cã thÓ dïng ®Ó tr¸ng g­¬ng. 	1
Ch©n gµ	4	119	\spr\item\questkey\taskobj106.spr	41	1	1	Mãn ¨n nµy ngoµi chİn trong sèng, mïi th¬m nùc nång, ngay c¶ thÇn tiªn còng ph¶i thÌm ¨n. 	0
Háa Hå	4	120	\spr\item\questkey\taskobj107.spr	41	1	1	Mét lo¹i c¸o th©n nhá vµ dµi, toµn th©n mµu ®á huyÕt nªn cßn gäi lµ Háa Hå, nhanh nhÑn ®¸ng yªu. 	0
Xİch §ång Kho¸ng	4	121	\spr\item\questkey\taskobj108.spr	41	1	1	Mét lo¹i Kho¸ng Th¹ch. 	1
Qu¶ng Ho¾c H­¬ng	4	122	\spr\item\questkey\taskobj109.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Gµ n­íng	4	123	\spr\item\questkey\taskobj110.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Viªn ®¸	4	124	\spr\item\questkey\taskobj111.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
TiÓu Hoµng CÈu	4	125	\spr\item\questkey\taskobj112.spr	41	1	1	Mét lo¹i chã hoang nhá, l«ng mµu vµng. 	0
TiÓu Kh«i L­	4	126	\spr\item\questkey\taskobj113.spr	41	1	1	Mét lo¹i La lóc nhá l«ng cã mµu x¸m tro. 	0
§o¹n KiÕm“YÓm NhËt”	4	127	\spr\item\questkey\taskobj114.spr	41	1	2	Mét thanh kiÕm thêi cæ, tªn gäi“YÓm NhËt”. 	0
§o¹n KiÕm“§o¹n Thñy”	4	128	\spr\item\questkey\taskobj115.spr	41	1	2	Mét thanh kiÕm thêi cæ, tªn gäi“§o¹n Thñy”. 	0
§o¹n KiÕm“ChuyÓn Ph¸ch”	4	129	\spr\item\questkey\taskobj116.spr	41	1	2	Mét thanh kiÕm thêi cæ, tªn gäi“ChuyÓn Ph¸ch”. 	0
§o¹n KiÕm“Trõ Tµ”	4	130	\spr\item\questkey\taskobj117.spr	41	1	2	Mét thanh kiÕm thêi cæ, tªn gäi“Trõ Tµ”. 	0
§o¹n KiÕm“DiÖt Hån”	4	131	\spr\item\questkey\taskobj118.spr	41	1	2	Mét thanh kiÕm thêi cæ, tªn gäi“DiÖt Hån”. 	0
S¸ch da Dª	4	132	\spr\item\questkey\taskobj119.spr	41	1	1	Mét quyÓn mËt th­ ghi l¹i tÊt c¶ nh÷ng bİ mËt ho¹t ®éng cña Kim quèc, cÊt trong th¸nh ®éng cña Thiªn NhÉn gi¸o. 	0
Cá Häa Mi	4	133	\spr\item\questkey\taskobj120.spr	41	1	2	Mét lo¹i th¶o méc chØ sèng ë c¸c vïng s¬n c­íc hoang d·. 	0
Hîp Hoan	4	134	\spr\item\questkey\taskobj121.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y. 	0
HuyÒn S©m	4	135	\spr\item\questkey\taskobj122.spr	41	1	1	Mét lo¹i d­îc liÖu, cã thÓ th¨ng ©m gi¸ng háa, gi¶i ®éc nhuËn tr­êng. 	0
Phßng Kû	4	136	\spr\item\questkey\taskobj123.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y. 	0
Chu Sa 	4	137	\spr\item\questkey\taskobj124.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y. 	0
Tõ ThiÕt Kho¸ng	4	138	\spr\item\questkey\taskobj125.spr	41	1	1	Mét lo¹i Kho¸ng Th¹ch. 	1
Hoµng cung th«ng hµnh lÖnh	4	139	\spr\item\questkey\taskobj126.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Mét miÕng mËt GÊu	4	140	\spr\item\questkey\taskobj127.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Mét bao Tİn Th¹ch	4	141	\spr\item\questkey\taskobj128.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
X¹ H­¬ng	4	142	\spr\item\questkey\taskobj129.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Nh·n Kİnh V­¬ng M·ng Xµ	4	143	\spr\item\questkey\taskobj130.spr	41	2	1	VËt phÈm trong nhiÖm vô	0
Hµ Thñ ¤	4	144	\spr\item\questkey\taskobj131.spr	41	1	1	Mét lo¹i d­îc liÖu, cã thÓ tr¸ng d­¬ng c­êng cèt, ®en tãc tr¾ng da. 	0
Thiªn V­¬ng LÖnh	4	145	\spr\item\questkey\taskobj132.spr	41	1	1	LÖnh bµi b»ng gç, trªn cã kh¾c hai ch÷ “Thiªn V­¬ng”, MÆc dï tr«ng kh«ng ®­îc ®Ñp nh­ng lµ tİn vËt cña Thiªn v­¬ng Bang, kh«ng thÓ xem th­êng. 	0
Con thá	4	146	\spr\item\questkey\taskobj133.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
B¹ch Hoa Xµ ThiÖt th¶o	4	147	\spr\item\questkey\taskobj134.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Hoa sen	4	148	\spr\item\questkey\taskobj135.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Ba c¸i trøng gµ	4	149	\spr\item\questkey\taskobj136.spr	41	1	1	Lo¹i trøng gµ th«ng th­êng. 	0
N¨m con th¹ch sïng	4	150	\spr\item\questkey\taskobj137.spr	41	1	1	Lo¹i th¹ch sïng vµng sÉm th­êng thÊy. 	0
§¸ to	4	151	\spr\item\questkey\taskobj138.spr	41	2	2	VËt phÈm trong nhiÖm vô	0
C«ng v¨n tõ T­¬ng D­¬ng ®­a ®Õn Phông T­êng	4	152	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ T­¬ng D­¬ng phñ ®­a ®Õn dŞch tr¹m ë phñ Phông T­êng. 	0
C«ng v¨n tõ Phông T­êng ®­a ®Õn §¹i Lı	4	153	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ Phông T­êng phñ ®­a ®Õn dŞch tr¹m ë phñ §¹i Lı. 	0
C«ng v¨n tõ Phông T­êng ®­a ®Õn L©m An	4	154	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ Phông T­êng phñ ®­a ®Õn dŞch tr¹m ë phñ L©m An. 	0
C«ng v¨n tõ Thµnh §« ®­a ®Õn BiÖn Kinh	4	155	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ §« Thµnh phñ ®­a ®Õn dŞch tr¹m ë phñ BiÖn Kinh. 	0
C«ng v¨n tõ §¹i Lı ®­a ®Õn T­¬ng D­¬ng	4	156	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ §¹i Lı phñ ®­a ®Õn dŞch tr¹m ë phñ T­¬ng D­¬ng. 	0
C«ng v¨n tõ §¹i Lı ®­a ®Õn D­¬ng Ch©u	4	157	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ §¹i Lı phñ ®­a ®Õn dŞch tr¹m ë phñ D­¬ng Ch©u. 	0
C«ng v¨n tõ T­¬ng D­¬ng ®­a ®ÕnThµnh §«	4	158	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ T­¬ng D­¬ng phñ ®­a ®Õn dŞch tr¹m ë phñ D­¬ng Ch©u. 	0
Thiªn NhÉn MËt th­	4	159	\spr\item\questkey\taskobj091.spr	41	1	1	Mét bøc mËt th­. 	0
Ch×a khãa thø nhÊt cña ThiÕt Th¸p	4	160	\spr\item\questkey\taskobj092-6.spr	41	1	1	Ch×a khãa më c¬ quan thø nhÊt cña ThiÕt Th¸p. 	0
